Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
103409022,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
103410116,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
103410948,00000470,false,Rx,4,6,8B,19,0B,1A,0B,1A,00,00,
103411930,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
103412833,00000463,false,Rx,4,8,8B,11,0B,13,0B,1D,0B,1F,
103413744,00000473,false,Rx,4,8,8B,1C,0B,1F,0B,1D,0B,1E,
103414739,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
103451779,00000468,false,Rx,4,8,8B,0A,0B,0A,0B,13,0B,12,
103452697,00000478,false,Rx,4,8,8B,13,0B,12,0B,14,0B,13,
103453680,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
103462433,0000046A,false,Rx,4,8,8B,10,0B,0E,0B,19,0B,1B,
103463340,0000047A,false,Rx,4,8,8B,18,0B,19,0B,1A,0B,17,
103464323,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
103471220,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
103472017,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
103473041,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
103475799,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
103476586,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
103477589,000007ED,false,Rx,4,8,0D,08,00,00,00,00,10,22,
103480827,0000046E,false,Rx,4,6,8B,1B,0B,18,0B,28,00,00,
103481623,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
103482646,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
104301806,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
104398310,00000460,false,Rx,4,6,8B,11,0B,0F,0B,18,00,00,
104399270,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
104400172,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,12,
104401184,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
104402118,00000470,false,Rx,4,8,80,01,0B,1A,0B,1B,0B,19,
104403131,00000470,false,Rx,4,8,8B,12,0B,13,0B,13,0B,11,
104404175,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
104414997,00000463,false,Rx,4,8,8B,11,0B,13,0B,1E,0B,1E,
104415895,00000473,false,Rx,4,8,8B,1D,0B,1E,0B,1E,0B,1D,
104416889,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
104418509,00000460,false,Rx,4,8,8B,0E,0B,0E,0B,1C,0B,1D,
104419429,00000470,false,Rx,4,8,8B,1C,0B,1A,0B,1A,0B,19,
104426516,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
104427607,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
104428449,00000470,false,Rx,4,6,8B,1A,0B,19,0B,19,00,00,
104454615,00000468,false,Rx,4,8,8B,0B,0B,0B,0B,12,0B,12,
104455524,00000478,false,Rx,4,8,8B,13,0B,11,0B,14,0B,12,
104456507,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
104465267,0000046A,false,Rx,4,8,8B,0E,0B,10,0B,1B,0B,1A,
104466156,0000047A,false,Rx,4,8,8B,17,0B,1A,0B,19,0B,17,
104467140,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
104474057,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
104474855,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
104475868,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
104478624,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
104479412,0000047D,false,Rx,4,6,8B,16,0B,18,0B,16,00,00,
104480435,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
104483650,0000046E,false,Rx,4,6,8B,1B,0B,18,0B,27,00,00,
104484438,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,25,00,00,
104485482,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
105304425,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
105400943,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
105401861,00000460,false,Rx,4,8,8B,0D,0B,0E,0B,17,0B,18,
105403185,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,18,
105404108,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
105405110,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
105406023,00000470,false,Rx,4,8,8B,12,0B,12,0B,13,0B,12,
105407076,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
105407989,00000460,false,Rx,4,8,8B,10,0B,0F,0B,19,0B,1A,
105408963,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
105409866,00000470,false,Rx,4,8,8B,19,0B,1B,0B,1C,0B,1C,
105410646,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
105411649,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
105417639,00000463,false,Rx,4,8,8B,12,0B,12,0B,1D,0B,1F,
105418548,00000473,false,Rx,4,8,8B,1C,0B,1E,0B,1E,0B,1D,
105419542,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
105457237,00000468,false,Rx,4,8,8B,0A,0B,0C,0B,13,0B,13,
105458157,00000478,false,Rx,4,8,8B,13,0B,11,0B,12,0B,13,
105459132,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
105467891,0000046A,false,Rx,4,8,8B,10,0B,0E,0B,19,0B,1A,
105468800,0000047A,false,Rx,4,8,8B,1A,0B,18,0B,19,0B,1A,
105469784,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
105476690,0000046C,false,Rx,4,6,8B,13,0B,12,0B,1C,00,00,
105477477,0000047C,false,Rx,4,6,8B,1D,0B,1F,0B,1C,00,00,
105478492,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
105481269,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
105482067,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
105483081,000007ED,false,Rx,4,8,0D,08,00,00,00,00,10,22,
105486246,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,27,00,00,
105487043,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
105488067,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
106307233,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
106403750,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
106404657,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,18,
106405569,00000460,false,Rx,4,8,8B,08,0B,09,0B,13,0B,13,
106406582,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
106407505,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
106408528,00000460,false,Rx,4,8,8B,11,0B,11,0B,1B,0B,1B,
106409431,00000470,false,Rx,4,8,8B,13,0B,12,0B,13,0B,11,
106410342,00000470,false,Rx,4,8,8B,1A,0B,19,0B,19,0B,19,
106411316,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
106412319,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
106413091,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
106414183,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
106420434,00000463,false,Rx,4,8,8B,13,0B,12,0B,1E,0B,1D,
106421343,00000473,false,Rx,4,8,8B,1D,0B,1F,0B,1D,0B,1E,
106422337,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
106460043,00000468,false,Rx,4,8,8B,0A,0B,0A,0B,13,0B,12,
106460942,00000478,false,Rx,4,8,8B,13,0B,10,0B,13,0B,12,
106461926,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
106470686,0000046A,false,Rx,4,8,8B,10,0B,0F,0B,18,0B,1B,
106471585,0000047A,false,Rx,4,8,8B,1B,0B,19,0B,17,0B,18,
106472569,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
106479486,0000046C,false,Rx,4,6,8B,11,0B,11,0B,1C,00,00,
106480293,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
106481307,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
106484055,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,18,00,00,
106484842,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
106485855,000007ED,false,Rx,4,8,0D,08,00,00,00,00,10,22,
106489061,0000046E,false,Rx,4,6,8B,1B,0B,18,0B,28,00,00,
106489859,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
106490882,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
107310778,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
107407284,00000460,false,Rx,4,6,8B,10,0B,10,0B,19,00,00,
107408213,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
107409127,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,12,
107410129,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
107411062,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
107412094,00000460,false,Rx,4,8,8B,10,0B,0E,0B,1A,0B,1A,
107413008,00000470,false,Rx,4,8,8B,10,0B,13,0B,12,0B,12,
107413910,00000470,false,Rx,4,8,8B,1B,0B,1A,0B,19,0B,1A,
107414883,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
107415895,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
107416656,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
107417750,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
107423971,00000463,false,Rx,4,8,8B,13,0B,12,0B,1E,0B,1D,
107424890,00000473,false,Rx,4,8,8B,1E,0B,1E,0B,1E,0B,1D,
107425884,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
107463567,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
107464485,00000478,false,Rx,4,8,8B,13,0B,11,0B,12,0B,13,
107465468,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
107474222,0000046A,false,Rx,4,8,8B,10,0B,11,0B,18,0B,1B,
107475132,0000047A,false,Rx,4,8,8B,17,0B,1B,0B,18,0B,1A,
107476115,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
107483053,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1C,00,00,
107483841,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
107484844,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
107487611,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
107488398,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
107489411,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
107492617,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,27,00,00,
107493404,0000047E,false,Rx,4,6,8B,29,0B,28,0B,26,00,00,
107494439,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
108314508,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
108411023,00000460,false,Rx,4,6,8B,10,0B,0F,0B,19,00,00,
108411971,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
108412896,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,11,
108413908,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
108414821,00000470,false,Rx,4,8,80,01,0B,19,0B,1B,0B,18,
108415853,00000460,false,Rx,4,8,8B,11,0B,10,0B,1A,0B,1B,
108416768,00000470,false,Rx,4,8,8B,12,0B,11,0B,12,0B,11,
108417688,00000470,false,Rx,4,8,8B,1B,0B,1A,0B,19,0B,1B,
108418661,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
108419663,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
108420435,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
108421528,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
108427720,00000463,false,Rx,4,8,8B,11,0B,14,0B,1D,0B,1F,
108428628,00000473,false,Rx,4,8,8B,1C,0B,1F,0B,1D,0B,1E,
108429621,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
108467304,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
108468203,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,14,
108469187,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
108477980,0000046A,false,Rx,4,8,8B,10,0B,0E,0B,1A,0B,1A,
108478878,0000047A,false,Rx,4,8,8B,19,0B,1A,0B,17,0B,1B,
108479863,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
108486791,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1C,00,00,
108487587,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
108488580,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
108491327,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
108492124,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
108493148,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
108496324,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
108497132,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
108498146,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
109318775,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
109415313,00000460,false,Rx,4,6,8B,11,0B,10,0B,18,00,00,
109416231,00000460,false,Rx,4,8,8B,0E,0B,0E,0B,17,0B,18,
109417144,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,12,
109418158,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
109419070,00000470,false,Rx,4,8,80,01,0B,19,0B,1B,0B,18,
109420103,00000460,false,Rx,4,8,8B,10,0B,12,0B,1C,0B,1A,
109421016,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,12,
109421937,00000470,false,Rx,4,8,8B,1A,0B,1B,0B,1A,0B,19,
109422912,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
109423924,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
109424694,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
109431986,00000463,false,Rx,4,8,8B,12,0B,14,0B,1D,0B,1F,
109432895,00000473,false,Rx,4,8,8B,1D,0B,1E,0B,1E,0B,1D,
109433879,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
109439267,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
109471575,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
109472474,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,12,
109473458,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
109482230,0000046A,false,Rx,4,8,8B,10,0B,10,0B,19,0B,1A,
109483129,0000047A,false,Rx,4,8,8B,17,0B,1B,0B,18,0B,19,
109484112,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
109491039,0000046C,false,Rx,4,6,8B,13,0B,10,0B,1C,00,00,
109491837,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
109492841,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
109495597,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
109496374,0000047D,false,Rx,4,6,8B,16,0B,17,0B,15,00,00,
109497409,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
109500594,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
109501391,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,27,00,00,
109502415,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
110321042,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
110417599,00000460,false,Rx,4,6,8B,10,0B,10,0B,18,00,00,
110418497,00000460,false,Rx,4,8,8B,0D,0B,0F,0B,18,0B,18,
110419420,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
110420341,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,12,
110422455,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
110423458,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
110424451,00000470,false,Rx,4,8,80,01,0B,1A,0B,1B,0B,18,
110425425,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
110426265,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
110434233,00000463,false,Rx,4,8,8B,13,0B,13,0B,1C,0B,1E,
110435142,00000473,false,Rx,4,8,8B,1D,0B,1F,0B,1D,0B,1D,
110436135,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
110440218,00000460,false,Rx,4,8,8B,11,0B,10,0B,1A,0B,1A,
110441128,00000470,false,Rx,4,8,8B,19,0B,1B,0B,1C,0B,1B,
110442132,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
110473841,00000468,false,Rx,4,8,8B,0B,0B,0B,0B,13,0B,12,
110474739,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,12,
110475724,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
110484496,0000046A,false,Rx,4,8,8B,0F,0B,10,0B,1B,0B,18,
110485395,0000047A,false,Rx,4,8,8B,19,0B,1A,0B,17,0B,1A,
110486378,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
110493327,0000046C,false,Rx,4,6,8B,12,0B,12,0B,1C,00,00,
110494104,0000047C,false,Rx,4,6,8B,1E,0B,1D,0B,1C,00,00,
110495118,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
110497866,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
110498662,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
110499666,000007ED,false,Rx,4,8,0D,08,00,00,00,00,10,22,
110502873,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,27,00,00,
110503648,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
110504692,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
111324940,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
111421437,00000460,false,Rx,4,6,8B,11,0B,0F,0B,18,00,00,
111422385,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
111429000,00000460,false,Rx,4,8,8B,12,0B,11,0B,1C,0B,1B,
111429900,00000460,false,Rx,4,8,8B,09,0B,09,0B,13,0B,13,
111430803,00000470,false,Rx,4,8,8B,19,0B,19,0B,18,0B,19,
111431713,00000470,false,Rx,4,8,8B,11,0B,12,0B,12,0B,12,
111432730,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
111433660,00000470,false,Rx,4,8,80,02,0B,1A,0B,1C,0B,19,
111434644,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
111435730,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
111436581,00000470,false,Rx,4,6,8B,1A,0B,18,0B,1A,00,00,
111438130,00000463,false,Rx,4,8,8B,11,0B,13,0B,1E,0B,1E,
111439053,00000473,false,Rx,4,8,8B,1E,0B,1E,0B,1F,0B,1D,
111440045,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
111477748,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
111478646,00000478,false,Rx,4,8,8B,13,0B,10,0B,13,0B,13,
111479631,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
111488403,0000046A,false,Rx,4,8,8B,0E,0B,10,0B,1B,0B,1A,
111489312,0000047A,false,Rx,4,8,8B,18,0B,1B,0B,19,0B,17,
111490286,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
111497195,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
111497992,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
111499006,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
111501774,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
111502550,0000047D,false,Rx,4,6,8B,17,0B,17,0B,15,00,00,
111503574,000007ED,false,Rx,4,8,0D,08,00,00,00,00,10,22,
111506780,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
111507576,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
111508610,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
112330416,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
112426922,00000460,false,Rx,4,6,8B,10,0B,10,0B,19,00,00,
112427861,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
112429185,00000460,false,Rx,4,8,8B,11,0B,10,0B,1B,0B,1C,
112430088,00000460,false,Rx,4,8,8B,08,0B,09,0B,13,0B,12,
112430999,00000470,false,Rx,4,8,8B,1A,0B,1A,0B,19,0B,19,
112431923,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,12,
112432927,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
112433850,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
112434834,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
112443617,00000463,false,Rx,4,8,8B,12,0B,14,0B,1D,0B,1E,
112444536,00000473,false,Rx,4,8,8B,1D,0B,1F,0B,1F,0B,1D,
112445529,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
112449492,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
112450269,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
112483210,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
112484110,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,13,
112485094,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
112493856,0000046A,false,Rx,4,8,8B,0F,0B,0F,0B,19,0B,1A,
112494766,0000047A,false,Rx,4,8,8B,19,0B,18,0B,19,0B,1A,
112495750,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
112502666,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1D,00,00,
112503453,0000047C,false,Rx,4,6,8B,1D,0B,1D,0B,1C,00,00,
112504476,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
112507255,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
112508042,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
112509057,000007ED,false,Rx,4,8,0D,08,00,00,00,00,10,22,
112512232,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
112513029,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
112514064,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
113333832,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
113430358,00000460,false,Rx,4,6,8B,10,0B,10,0B,18,00,00,
113431135,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
113432489,00000460,false,Rx,4,8,8B,0F,0B,0F,0B,1C,0B,1C,
113433412,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
113434325,00000470,false,Rx,4,8,8B,1A,0B,19,0B,1A,0B,1C,
113435228,00000470,false,Rx,4,8,8B,12,0B,13,0B,12,0B,12,
113436887,00000460,false,Rx,4,8,8B,0D,0B,0F,0B,18,0B,18,
113438174,00000470,false,Rx,4,8,80,01,0B,19,0B,1B,0B,19,
113444072,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
113445083,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
113446163,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
113447077,00000463,false,Rx,4,8,8B,12,0B,13,0B,1D,0B,1F,
113447980,00000473,false,Rx,4,8,8B,1D,0B,1D,0B,1F,0B,1F,
113448974,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
113450069,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
113486631,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
113487530,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,13,
113488514,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
113497297,0000046A,false,Rx,4,8,8B,10,0B,10,0B,17,0B,19,
113498206,0000047A,false,Rx,4,8,8B,1C,0B,1A,0B,18,0B,19,
113499190,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
113506098,0000046C,false,Rx,4,6,8B,13,0B,12,0B,1D,00,00,
113506875,0000047C,false,Rx,4,6,8B,1E,0B,1D,0B,1C,00,00,
113507900,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
113510685,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
113511482,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
113512477,000007ED,false,Rx,4,8,0D,08,00,00,00,00,10,22,
113515641,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
113516428,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
113517482,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
114334825,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
114431361,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
114432289,00000460,false,Rx,4,8,8B,0E,0B,0E,0B,18,0B,18,
114433204,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,13,
114434206,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
114435119,00000470,false,Rx,4,8,8B,12,0B,13,0B,12,0B,11,
114436050,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
114437035,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
114438047,00000460,false,Rx,4,8,8B,11,0B,0F,0B,1A,0B,1D,
114439021,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
114439942,00000470,false,Rx,4,8,8B,1A,0B,19,0B,1A,0B,1C,
114440712,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
114441726,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
114448049,00000463,false,Rx,4,8,8B,12,0B,12,0B,1E,0B,1D,
114448958,00000473,false,Rx,4,8,8B,1E,0B,1D,0B,1F,0B,1D,
114449952,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
114487623,00000468,false,Rx,4,8,8B,0B,0B,0B,0B,13,0B,13,
114488522,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,12,
114489507,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
114498299,0000046A,false,Rx,4,8,8B,0E,0B,0F,0B,1A,0B,1B,
114499188,0000047A,false,Rx,4,8,8B,1A,0B,17,0B,19,0B,1B,
114500173,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
114507091,0000046C,false,Rx,4,6,8B,13,0B,12,0B,1D,00,00,
114507898,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1D,00,00,
114508891,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
114511668,0000046D,false,Rx,4,6,8B,0E,0B,0C,0B,17,00,00,
